"Tên Món","Thời gian","Số người","Độ khó","Nguyên Liệu","Cách Nấu"
Sườn rim chua ngọt ngon mê ly cho bữa cơm nhà,60 phút,4 người,Dễ,"Sườn non-700 gr | Trứng gà-1 quả | Ớt sừng-10 gr | Hành tím-10 gr | Tỏi-10 gr | Tương ớt-1.5 muỗng canh | Tương cà-1.5 muỗng canh | Nước tương-5 muỗng cà phê | Giấm-2 muỗng cà phê | Bột bắp-2 muỗng canh | Dầu ăn-50 ml | Gia vị-Muối, đường, hạt nêm, bột ngọt, tiêu","1. Sơ chế nguyên liệu | Sơ chế sườn: Sử dụng muối hoặc chanh để chà xát mặt thịt của sườn heo. Sau đó, rửa sườn lại với nước sạch để loại bỏ muối hoặc chanh trên bề mặt, sau đó để ráo. Tiếp theo, chặt sườn thành các miếng nhỏ vừa ăn. | Trụng sườn: Chuẩn bị một thau hoặc nồi lớn, đổ nước sôi vào thau sao cho mặt sườn được ngập trong nước. Trụng sườn trong nước sôi khoảng 5 - 10 phút, sau đó vớt sườn ra và xả sạch bằng nước lạnh để loại bỏ cặn bẩn. | Rửa và để ráo: Xả sườn bằng nước sạch để loại bỏ bất kỳ tạp chất nào còn lại trên bề mặt. Sau đó, để sườn ráo trong một chỗ khô thoáng. | 2. Ướp và chiên sườn | Chuẩn bị gia vị: Trong một tô, trộn đều 1/3 muỗng cà phê muối, 2 muỗng cà phê hạt nêm, 1/3 muỗng cà phê bột ngọt, 1 muỗng cà phê nước tương, 1 muỗng canh đường, 1/3 muỗng cà phê tiêu xay, 5g tỏi băm và 10g hành tím băm. | Ướp sườn: Đặt sườn vào một tô và rắc đều gia vị đã chuẩn bị lên sườn. Đảo đều để sườn thấm đều gia vị. Ướp sườn trong khoảng 15 - 20 phút để gia vị thấm vào sườn đều. | Chuẩn bị hỗn hợp bột áo: Đập 1 quả trứng gà và tách lấy lòng trắng. Hòa lòng trắng trứng với 2 muỗng canh bột bắp. | Áo sườn bằng hỗn hợp bột áo: Cho hỗn hợp bột bắp và lòng trắng trứng vào tô chứa sườn. Trộn đều để bột áo phủ đều lên sườn. | Một gợi ý nhỏ: Ướp thịt với lòng trắng trứng gà và bột bắp giúp sườn khi chiên có màu vàng đẹp và trở nên giòn hơn. | Chiên sườn: Đặt một chảo lên bếp và đổ dầu ăn vào chảo. Chờ đến khi dầu ăn nóng, sau đó đặt phần sườn đã được áo bột vào chảo và chiên ở lửa vừa. Chiên sườn cho đến khi sườn chín vàng và cạnh sườn trở nên giòn. Sau đó, vớt sườn ra khỏi chảo để ráo dầu. | 3. Rim sườn | Đổ bớt dầu từ chảo, giữ lại một ít dầu và cho tỏi vào phi thơm. | Thêm 10g ớt sừng băm nhuyễn và toàn bộ phần sốt đã pha trước đó vào chảo. Tiếp theo, đổ 50ml nước lọc vào tô chứa nước sốt, tráng đều rồi đổ vào chảo. Đun nước sốt cho đến khi hỗn hợp sôi lên và hơi sánh lại. | Rim sườn ở lửa nhỏ trong khoảng 5 phút cho đến khi nước sốt sánh kẹo lại và sườn ngấm đều gia vị. Sau đó, tắt bếp. | Bày sườn ra đĩa và trang trí để tạo thành một món ăn đẹp mắt. | 4. Thành phẩm | Món sườn rim chua ngọt dễ thực hiện, với các nguyên liệu đơn giản và dễ tìm kiếm. Tuy nhiên, hương vị của nó lại vô cùng thơm ngon và hấp dẫn, tạo cảm giác thèm thuồng khiến bạn muốn ăn thêm. Mỗi miếng sườn thấm đầy hương vị, kết hợp với sốt chua chua, ngọt ngọt, tạo ra một cảm giác kích thích vị giác tuyệt vời khi ăn kèm cơm."
Canh cua mồng tơi ngon mát cho mùa hè,40 phút,4 người,Dễ,Cua đồng-300 gram | Rau mồng tơi-300 gram | Hành tím-2 củ | Dầu ăn-2 muỗng canh | Nước mắm-1 muỗng canh | Muối-Một ít,"1. Sơ chế của đồng | Đầu tiên, bắt đầu với 300 gram cua đồng, hãy sử dụng tay để tách bỏ mai và yếm, sau đó rửa cua một vài lần với nước cho sạch và để ráo. Đồng thời, lấy muỗng để gạch cua từ yếm cho vào một chén riêng. Tiếp theo, chuẩn bị máy xay sinh tố và đổ số cua đồng đã để ráo cùng 300ml nước lọc vào máy, sau đó xay nhuyễn hỗn hợp trong khoảng 3 phút ở mức vừa. | Khi thấy hỗn hợp đã nhuyễn, tắt máy và sử dụng rây để lọc phần xác cua, chỉ giữ lại nước riêu cua để sử dụng trong chế biến. | 2. Sơ chế nguyên liệu khác | Tiếp theo, với 300 gram rau mồng tơi, bạn hãy nhặt lấy các lá non và đồng thời loại bỏ những lá dập úng hoặc héo úa. | Sau đó, ngâm rau mồng tơi trong nước muối pha loãng trong khoảng 10 phút, sau đó rửa lại 1-2 lần với nước để làm sạch và để ráo. Sau đó, sử dụng dao để cắt rau thành khúc dài khoảng 1-2 phần ngón tay. | Cuối cùng, lột vỏ hành tím và băm nhuyễn nó. | 3. Xào gạch cua | Sau khi chuẩn bị xong nguyên liệu, hãy đặt một chảo lên bếp và thêm 1 muỗng canh dầu ăn, sau đó đun chảo với lửa vừa. Chờ đến khi dầu nóng, bạn hãy cho hành tím đã băm nhuyễn vào chảo và phi thơm trong khoảng 3 phút. | Tiếp theo, thêm chén gạch cua vào chảo và sử dụng sạn dẹt để xào đều trong khoảng 3-5 phút, cho đến khi thấy gạch cua trở nên hơi sánh và đặc. Khi đó, bạn có thể tắt bếp. | 4. Nấu canh | Khi vô tình chạm mắt, tô canh cua mồng tơi đã tỏa sáng với màu sắc bắt mắt từ riêu cua và sự tươi tốt của rau xanh, nhanh chóng thu hút mọi người! | Đặc biệt, riêu cua mềm mịn và ngọt ngào, kết hợp với hương vị tươi ngon của rau và nước dùng đậm đà, thực sự là một món ăn không thể thiếu trên bàn cơm!"
Thịt lợn mán tái chanh thơm ngon ngọt,60 phút,4 người,Dễ,Thịt lợn mán (Chọn phần thịt vai hoặc thịt đùi)-500gr | Gừng-1 nhánh | Sả-2 cây | Vừng trắng rang vàng-3 thìa | Dầu vừng-1 thìa | Chanh-1/2 quả | Đường-1 thìa | Bột canh-1 thìa | Chuối xanh-1 quả | Khế chua-1 quả | Ớt-Tuỳ thích | Giấm-2 thìa | Muối-1 thìa,"Gừng và 2 củ sả đập dập chia thành 2 phần, 1 củ sả còn lại băm nhỏ. | Chuối xanh lột vỏ, cắt lát mỏng, ngâm vào nước pha muối và giấm cho đỡ bị thâm rồi để ráo. Khế chua rửa sạch, cắt lát. Vừng rang vàng. | Thịt lợn rửa sạch, dùng dao cao sạch phần bì. Đun sôi nước, thả một phần gừng, sả vào rồi cho thịt vào trần trong khoảng 2-3 phút để loại bỏ các chất bẩn và mùi hôi của thịt, sau đó rửa sạch lại với nước. | Hấp thịt với chỗ gừng và sả còn lại cho tới khi chín (mất khoảng 10-15 phút sau khi nước sôi, các bạn dùng đũa châm không thấy nước đỏ chảy ra là thịt chín). Gắp thịt ra thả vào bát nước đá ngay cho thịt trắng và mềm. | Dùng dao sắc thái thịt lợn mán đã luộc thật mỏng, cho vào tô. | Vắt nửa quả chanh vào tô, thêm đường, muối, dầu vừng, 1/2 chỗ vừng rang, ớt thái nhỏ vào, dùng găng tay trộn đều. Sau khi trộn xong các bạn có thể nêm nếm lại gia vị cho vừa miệng rồi xếp thịt ra đĩa, rắc chỗ vừng còn lại lên trên là ta đã làm xong món thịt lợn mán tái chanh. Các bạn ăn thịt lợn mán tái chanh cùng với khế chua và chuối xanh không thôi cũng ngon, nếu thích, các bạn có thể chấm tương gừng ăn cũng siêu hợp vị nhé."
Xôi cốm dẻo thơm ngon khó chối từ,2 giờ 00 phút,4 người,Dễ,Cốm-300g | Đỗ xanh-100g | Dừa tươi-50g | Đường kính trắng-4 thìa cà phê | Dầu ăn-2 thìa,"Bước 1:Đậu xanh ngâm trong nước nóng 2h rồi đãi sạch, để ráo nước, trộn với 1/3 thìa cà phê muối để trong chiếc chén con. Nếu là đỗ xanh chưa bỏ vỏ thì bạn nên ngâm trước đó 3h rồi đãi sạch vỏ đi nhé. | Bước 2:Cho đỗ xanh vào nồi hấp và hấp cho đến khi chín. Nếu không có xoong hấp bạn có thể cho vào nồi cơm điện và nấu như cơm. Không nên cho nhiều nước, khi đỗ sôi sẽ trào nước ra nồi. | Khi đậu chín thì cho vào cối giã nhuyễn hoặc nghiền bằng thìa. | Bước 3:Trộn cốm với 2 thìa dầu ăn, rồi cho vào hấp. Khi hấp bạn nên cho lửa liu riu, đợi trong 5-7 phút là cốm chín. | Bước 4:Lấy cốm đã chín và trộn với 2 thìa đường trắng, rồi đem hấp lại trong 5 phút. | Bước 5:Dừa nạo thành sợi ướp với chỗ đường còn lại, để trong 20 phút. | Cho 1 chút dầu ăn vào chảo, để lửa nhỏ cho dừa tươi ướp đường vào xào cho săn lại. Bạn có thể nhận thấy dừa săn lại là khi đường cô lại, bám chặt vào từng sợi dừa, tuy nhiên bạn không nên để quá lửa để dừa bị cháy có màu vàng nhìn sẽ không đẹp mắt. | Bước 6:Đổ xôi ra một cái khay rộng rồi trộn đều xôi cốm với dừa và đậu xanh đã giã nhuyễn. | Để có hình thức bắt mắt bạn có thể trải lá sen hoặc lá chuối lót dưới đĩa hay mẹt nhỏ rồi hãy đổ xôi cốm lên. | Chúc bạn và gia đình thành công với cách nấu xôi cốm thơm ngon hấp dẫn này!"
Canh cá nấu chua đậm đà ngon cơm,60 phút,4 người,Dễ,"Cá (cá diêu hồng hoặc cá quả, bạn nên chọn cá có vị béo): 250g- | Dứa:1/2 quả; cà chua: 3 quả; giá đỗ: 100g; bạc hà (dọc mùng): 1 cây; đậu bắp: 5 quả; tỏi: 1 củ- | Me chua; ớt ngọt: 1 quả; ngò gai, ngò om- | Nước mắm, bột nêm, muối , đường, dầu ăn-","Bước 1:Tỏi, ớt băm nhỏ. Cá rửa sạch các mạch máu, rửa sạch với muối cho hết nhớt. Cắt 2 khúc. Ướp cá với ớt vừa băm và một chút muối. Lưu ý không nên ướp cá với hành, vì hành sẽ làm mất mùi thơm đặc trưng của canh cá là ngò gai và ngò om. | Bước 2:Cà chua bổ cau, dứa thái miếng, đậu bắp thái xéo, bạc hà tước vỏ thái lát mỏng, rau om và ngò gai cắt nhỏ. | Bước 3:Cho dầu vào phi tỏi thơm (vớt ra 1 ít tỏi phi để lát cho vào canh), chiên qua một mặt cá, rồi tắt bếp lật mặt còn lại để tầm 30 giây, rồi gắp cá ra. Cách này sẽ giúp loại bỏ mùi tanh và cá ngấm gia vị. | Bước 4:Cho khoảng 1.5 lít nước vào nồi đun sôi. Dầm me rồi đổ qua màng lọc. Chờ nước sôi rồi cho tiếp cá vào, phải cho nước me vào trước thì cá mới săn và chắc thịt hơn. Nấu khoảng 5 phút cho cá chín. | Bước 5:Trong khi chờ cá chín, ướp dứa với chút muối và đường để làm dịu vị chua của dứa. Hớt bỏ bọt để nước canh được trong. | Bước 6:Sau khi cá chín, cho cà chua và dứa vào nồi, nấu khoảng 1 phút. Kế tiếp, cho đậu bắp và bạc hà vào. | Khi thấy đậu bắp và bạc hà chín, tắt lửa, cho giá đỗ vào. Nêm 1 thìa đường, ½ thìa bột nêm, 1 thìa nước mắm và nhớ nếm lại xem hợp khẩu vị của bạn không nhé. | Bước 7:Múc cá ra trước, rồi cho các thứ còn lại vào, thêm rau ngò gai và ngò om đã thái lên trên và tưới nước, cuối cùng rắc thêm chút tỏi phi để món canh thêm đậm đà. Món canh chua miền nam có vị chua chua ngọt ngọt đậm đà, vừa ăn, có màu sắc hấp dẫn, các gia vị nấu kèm chín đều, thơm ngon. | Các bạn có thể dùng canh chua miền Nam với bún hoặc với cơm nhé. Chúc các bạn thành công!"
Bún thang Hà Nội ngon chuẩn vị,60 phút,4 người,Dễ,"100g giò lụa- | 500g xương hom hay xương ống heo- | ½ con gà ta- | 2 quả trứng vịt- | 1,5 kg bún sợi nhỏ- | 200g tôm sú- | 100g tôm khô, 2-3 cái râu mực khô (hoặc sá sùng)- | Hành lá, rau răm, hành khô và gừng nướng, nấm hương, củ cải khô- | Mắm tôm, gia vị, nước mắm, 1 chút đường phèn, giấm, đường cát trắng-","Bún thang là một món ăn quen thuộc của người Hà Nội, được nhiều người yêu thích. Bởi vị của nước dùng rất ngọt, đậm đà, trong veo và thơm nồng mùi tôm khô khiến món ăn có mùi vị rất đặc trưng và ngon khó cưỡng. Nhiều người nghĩ rằng sẽ rất khó để có thể nấu được món ăn này, tuy nhiên với công thức dưới đây, chúng ta sẽ dễ dàng được thưởng thức món bún thang ngay tại nhà. | SƠ CHẾ NGUYÊN LIỆU LÀM BÚN THANG | Giò lụa thái thành sợi thật nhỏ, để riêng. | Hành lá, rau răm đem nhăt rồi rửa sạch với nước và để ráo rồi đem thái nhỏ, để riêng. | Gừng rửa sạch, để ráo nước. | Hành tím bóc sạch vỏ, rửa sạch rồi đem đập dập, băm nhỏ, để riêng. | Củ cải khô ngâm nước ấm 30 phút cho nở ra rồi đem rửa lại với nước sạch. Tiếp theo, bạn thái sợi thật nhỏ và trộn với 2 thìa giấm, 1 thìa đường trắng, trộn đều và để 30 phút cho củ cải thấm gia vị. | Nấm hương nhặt sạch cắt bỏ phần chân đen, rửa sạch. | Tôm khô nhặt bỏ bụi bẩn, để riêng. Tôm sú cắt bỏ đầu, bỏ đuôi, bóc bỏ vỏ, tách bỏ sợi chỉ đen trên lưng tôm rồi đem rửa sạch. Cho tôm vào cối giã sơ qua rồi để riêng. | Đánh trứng vào bát, thêm chút hạt nêm vào, khuấy đều và để riêng. | Gà rửa kỹ với nước muối pha loãng, rửa lại với nước sạch và để ráo. | Xương heo rửa sạch với nước muối pha loãng, rửa lại với nước sạch và để ráo. | CÁC BƯỚC LÀM BÚN THANG | Bước 1: Gừng đã rửa sạch đem nướng cho đến khi nào chín và có mùi thơm. Tiếp đó, cho râu mực lên bếp nướng chín, đợi đến khi râu nguội, xé thành sợi nhỏ là được. | Bước 2: Cho gà vào nồi luộc, đến khi sôi thì cho một chút gia vị 1 muỗng hạt nêm, 1/2 muỗng đường, 1 muỗng cafe muối và hành khô, gừng đã nướng thơm vào, hạ nhỏ lửa để gà chín bên trong. Sau khi vớt ra để nguội Sau, bạn dùng tay xé sợi vừa ăn và để riêng. | Bước 3: Xương lợn cho vào nồi đun sôi với nước, sau đó đổ hết nước đó đi, cho ra vào nước lạnh rửa sạch vụn xương. Sau đó đổ xương vào nồi nước luộc gà ninh nhừ (khoảng 2 – 3 tiếng) để làm nước dùng. | Bước 4: Trong khi ninh xương để nấu nước dùng, bạn bật một bên bếp khác lên, cho chảo chống dính lên bếp. Khi chảo nóng già thì cho tôm khô vào rang thơm rồi cho ra đĩa. Tiếp đó, dùng luôn chiếc chảo đó, cho chút dầu ăn vào tráng đều mặt chảo, đến khi dầu nóng già thì cho tôm sú đã giã vào, thêm chút nước mắm rồi sao cho tôm chín, hơi khô lại thành ruốc tôm thì cho ra đĩa. | Bước 5: Cho dầu ăn vào tráng đều mặt chảo, cho bát trứng đã đánh vào rán sao cho thật mỏng. Đến chi chín cho trứng ra đĩa, đợi trứng nguội thì thái thành sợi nhỏ. | Bước 6: Khi nồi nước ninh xương đun được khoảng 50 phút đến 1 tiếng, thì cho râu mực nướng chín, tôm khô đã rang, nấm hương, 1 viên đường phèn, 1 thìa hạt nêm, 1 thìa muối và chút nước mắm vào, khuấy đều. Tiếp tục ninh thêm 1 hoặc 2 tiếng nữa thì nêm nếm lại gia vị cho vừa miệng, cho hành lá và rau răm xắt nhỏ vào, rồi tắt bếp. | Bước 7: Bún đem trần qua với nước, xếp các loại nhân lên trên rồi chan nước dùng vào là xong. Nếu ai có thể ăn được mắm tôm thì bạn cho ½ thìa cafe mắm tôm lên trên. | Để có thể nấu được bún thang chúng ta phải mất khá nhiều thơi gian công sức. Đây là một món ăn cầu kì, đỏi hỏi người nấu phải có sự tỉ mỉ và khéo léo. | Chúc các bạn sẽ nấu thành công món bún thang với công thức trên!"
Bí quyết làm thịt rim khiến cả nhà thích mê,60 phút,4 người,Dễ,"700 gr thịt ba chỉ, chọn miếng thịt có mỡ nhiều 1 chút- | 200 gr tôm khô; 2 muỗng canh tỏi băm; 2 củ hành tím thái lát mỏng; 1 muỗng canh đầy sa tế; vài trái ớt trái ớt (tùy vào khẩu vị, có thể ít hoặc nhiều hơn); 3 khúc phần trắng hành lá- | 3 muỗng canh đường nâu (60gr), 5 muỗng canh nước mắm ngon, 3 muỗng canh nước hòa chung trong một bát-","Bước 1:Tôm khô ngâm vào nước ấm khoảng 20 phút sau đó vớt ra bát. | Bước 2:Thịt heo rửa sạch, cắt bỏ phần da (bì), sau đó thái miếng không quá to. Ướp thịt với chút muối. | Bước 3:Thịt cho vào chảo, bắc lên bếp xào lửa hơi thấp. Cứ dùng đũa xào 1 lúc là thịt tứa mỡ. Lúc này bạn mới cho hành tỏi vào xào 1-2 phút cho thơm. | Tiếp đến cho tôm khô và chén nước mắm vào rim nhỏ lửa khoảng 10-15 phút cho thịt thấm vị. | Cuối cùng cho sa tế và ớt cùng hành lá vào, tiếp tục rim thêm 5-7 phút cho thịt có màu nóng màu đẹp. Nêm nếm lại cho vừa ăn là tắt bếp. | Thịt rim mắm sa tế thơm ngon, bóng bẩy và có màu vàng đẹp trông rất hấp dẫn. | Chothịt rim mắm sa tếra bát hoặc nồi giữ được nhiệt, thưởng thức cùng cơm hoặc chấm cơm cháy, xôi hay rau luộc đều rất ngon. | Chúc các bạn thành công và ngon miệng vớicách làm thịt rim mắm sa tế!"
Chè lam bằng bột nếp sống,50 phút,4 người,Dễ,Bột nếp-200gr | Đường vàng-200gr | Lạc rang-80gr | Nước lọc-1 bát con | Gừng-1 củ | Muối-1 xíu,"Nguyên liệu bạn cần chuẩn bị để làm món chè lam dân dã mà ngon tuyệt này nhé! | Bước 1:Gừng gọt vỏ, rửa sạch rồi giã dập và băm thật nhỏ. Lạc loại bỏ vỏ lụa rồi cho lạc vào túi nilon đập cho lạc vỡ làm đôi làm ba. | Bước 2:Cho đường, nước vào nồi khuấy tan. Bật bếp đun sôi nước đường rồi cho gừng vào, nấu thêm 1-2 phút là tắt bếp. | Bước 3:Cho từng thìa bột nếp vào khuấy đều cho tan bột mới cho tiếp bột nếp vào. Bạn để lại 1 chút bột nếp để làm bột áo nhé. | Bột sẽ từ từ đặc lại thì tiếp tục lại cho bột nếp vào trộn đều, sau đó lấy ra bàn sạch và nhồi lại. Thêm lạc rang vào nhồi đều vài phút cho bột dẻo mịn là được. | Bước 4:Lấy cán bột cán cục bột thành miếng to rồi để nguội. Sau đó dùng dao cắt thành các miếng nhỏ vừa ăn và lăn qua 1 lớp bột nếp sao cho miếng chè lam được phủ 1 lớp mỏng bột nếp bên ngoài. | Mùa đông làmchè lamthưởng thức cùng 1 cốc trà nóng thật tuyệt vời. | Chúc các bạn và gia đình thành công với cách làm chè lam!"
Cà dầm chua ngọt ngon tuyệt hảo,60 phút,4 người,Dễ,cà bát muối nén-2 quả | Tỏi-1 củ | Đường-2 thìa | Ớt bột (hoặc tương ớt)-1 thìa,"Bước 1: | - Trước tiên, chúng ta cần thái cà thành từng miếng vừa ăn. Nếu thích ăn giòn thì các bạn chú ý chọn quả cà già nhé! | Bước 2: | - Dùng nước lọc để rửa cà. Vì cà muối kiểu này thường rất mặn, chúng ta cần rửa cà khoảng 2 nước cho đến khi cà đỡ mặn thì thôi. | Bước 3: | - Các bạn bóp nhẹ để nếu cà muối có những hạt già thì sẽ bị đẩy ra nhé! | Bước 4: | - Chắt bỏ hết nước, để miếng cà khô ráo. Ở bước này, các bạn nên bóp nhẹ để miếng cà không bị õng nước. | Bước 5: | - Giờ thì bóc vỏ tỏi và băm nhỏ nhé! | Bước 6: | - Trộn cà thật đều với đường, ớt và tỏi. Ở đây, nếu thích vị xì dầu thì các bạn có thể cho thêm 1 thìa xì dầu vào. | Bước 7: | - Để cho cà ngấm khoảng 10' là có thể ăn được nhé! | Giờ thì dọn cơm ra nào! | Gợi ý thực đơn cho 1 bữa cơm dân dã này: cà dầm chua ngọt, rau muống luộc, đậu rán, thịt rang cháy cạnh, tôm rang khế, cá kho... | Cà bát muối bao giờ cũng có vị đặc trưng: thơm và đậm hơn cà pháo. | Cà được dầm chua chua, ngọt ngọt nên đưa cơm vô cùng luôn! | Nếu ăn không hết thì bạn có thể đậy kín lại và cho vào tủ lạnh để ăn dần nhé! | Chúc các bạn thành công!"
Vịt om sấu khoai sọ ngon chuẩn vị miền Bắc,1 giờ 5 phút,4 người,Dễ,"Vịt-1 kg | Sấu xanh-10 quả | Khoai sọ-0,5 kg | Nguyên liệu-Gừng, tỏi, hành khô, sả, riềng, chanh, mùi tàu | Gia vị-muối, đường, nước mắm, ớt","Chuẩn bị các nguyên liệu làm món vịt om sấu: | -Trước tiên, các bạn rửa sạch vịt nước trắng trước. | - Sau đó, các bạn giã nhỏ gừng, trộn với muối xát đều lên khắp mình vịt cho sạch, sau đó rửa qua với nước lạnh, dùng chanh xát đều để khử sạch mùi hôi, tanh của vịt, sau đó xả lại thật sạch với nước . | -Sau khi vịt đã được làm sạch và để ráo nước thì các bạn chặt vịt thành miếng to bằng bao diêm hoặc miếng vừa ăn để khi om thịt bịt óp lại là vừa. | -Hành, tỏi, sả các bạn nhặt vỏ, rửa sạch, đập dập, thái lát mỏng. | -Khoai sọ các bạn rửa sạch, luộc qua khoảng 5 phút, sau đó đêm xả với nước lạnh, gọt vỏ, để riêng ra bát sạch. | -Sấu các bạn cạo vỏ, ngâm vào bát nước lạnh. Rồi sau đó đem đập hơi dập. | Các công đoạn để có món vịt om sấu ngon tuyệt | -Trước tiên, các bạn ướp vịt với 1 thìa cà phê hạt nêm, ½ thìa cè phê tiêu, một nửa hành, tỏi, sả băm trong vòng 30 phút cho thịt vịt ngấm gia vị. Nếu không thích dùng hạt nêm thì các bạn có thể thay bằng mì chính, bột canh cũng rất đậm đà. | -Tiếp theo, các bạn đun nóng chảo, cho vào 3 thìa canh dầu ăn. Khi dầu ăn sôi thì các bạn cho phần hành, tỏi, sả còn lại vào phi thơm rồi cho thịt vịt vào đảo đều cho đến khi miếng thịt săn lại. | -Sau đó, các bạn cho sấu đã đập hơi dập vào xào cùng khoảng 2-3 phút rồi cho nước vào cho ngập thịt. | -Các bạn om vịt với lửa nhỏ cho đế khi miếng thịt hơi mềm thì cho khoai vào om cùng đến khi khoai chín mềm ( khoảng 30 phút) là được. | - Trước khi tắt bếp thì các bạn thêm một ít mùi tàu hành lá để món vịt được ngon hơn. | Chúc các bạn thành công và ngon miệng với món ngon này nhé! | Những lưu ý để có món vịt om sấu ngon | -Phần nước om vịt các bạn có thể thay thế bằng nước dừa xiêm sẽ khiến món vịt thơm, ngậy, ngon hơn. | -Khi om khoai lưu ý không đảo nhiều lần khoai sẽ làm khoai bị nát. | -Khi dầm sấu, các bạn dầm từ từ từng quả một khi nếm thấy vị chua vừa đủ thì dừng không dầm nữa, nêm nếm thêm gia vị, rắc thêm mùi tàu, rau ngổ, ớt và múc ra bát thưởng thức. | - Để tăng màu sắc cho món ăn các bạn nên dùng thêm cà chua, vừa tạo màu sắc mà vừa tăng độ chua cho món ăn. Nếu dùng cà chua thì sau khi phi thơm hành, tỏi sả thì các bạn cho cà chua vào xà cho mềm rồi mới cho vịt vào. | Cách chọn vịt ngon: | Khi mua, các bạn nên chọn những con vịt trưởng thành và béo, ức tròn, da cổ và da bụng dày, mọc đủ lông (điểm mút của hai cánh vừa đủ đan chéo vào nhau). Những con vịt này làm lông sẽ nhanh, không tốn thời gian. | - Hạn chế chọn vịt non vì thịt sẽ nhão, không săn chắc và rất tốn thời gian để nhổ lông tơ (lông măng). Quan sát những con vịt non sẽ thấy, có mỏ to và mềm. Còn vịt già, bạn quan sát kỹ sẽ thấy nó có mỏ nhỏ và cứng. | - Vịt đã đẻ nhiều lứa thịt cũng khá thơm. Loại vịt này thì bụng dưới xệ xuống. Khác với gà nếu ăn thịt vịt thì nên chọn vịt đực, vì vịt đực ăn ngon hơn vịt cái. | - Để xem vịt khỏe mạnh hay bệnh, chị em hãy vạch phía sau đuôi xem hậu môn vịt không bị dính phân chảy là vịt không bị bệnh. | Các bạn nên chọn con vừa trưởng thành, không quá non hoặc quá già để vừa có món ăn ngon mà khâu sơ chế cũng thuận tiện, dễ dàng."
